src_tid,tgt_tid,verdict,reason,src_vy_pred,tgt_vy_pred,src_vy_at_tgt,discontinuity,src_arc_n_pts,tgt_arc_n_pts,src_g,tgt_g,gap_frames,fit_residual_src,fit_residual_tgt
27,28,INSUFFICIENT,no arcs,,,,,,,,,,,
25,33,VIOLATING,,11.34,-16.48,11.84,28.32,41,26,0.126,0.646,1,136.85,7.76
29,34,VIOLATING,,9.89,-17.37,11.39,28.75,38,29,0.043,0.633,3,107.68,6.29
33,36,VIOLATING,,13.21,-16.47,15.71,32.18,40,30,0.251,0.608,5,95.01,1.26
4,18,VIOLATING,,12.6,-17.93,14.6,32.52,38,30,0.201,0.637,4,91.41,9.09
28,32,VIOLATING,,1.56,-15.16,2.06,17.22,7,26,2.805,0.623,1,4.72,1.32
14,17,VIOLATING,,3.32,-15.23,4.32,19.55,7,25,1.993,0.656,2,2.44,2.36
18,30,VIOLATING,,4.22,-15.43,5.22,20.64,6,24,2.156,0.68,2,4.34,6.35
30,37,VIOLATING,,12.13,-16.54,14.13,30.67,43,27,0.199,0.631,4,176.18,3.82
35,38,VIOLATING,,10.19,-15.34,11.69,27.03,41,31,0.098,0.603,3,169.52,1.45
11,14,VIOLATING,,12.06,-16.29,14.06,30.35,45,25,0.191,0.656,4,177.79,3.88
17,24,VIOLATING,,15.65,-18.98,18.65,37.63,37,32,0.389,0.617,6,45.73,56.81
20,21,VIOLATING,,7.36,-15.02,11.86,26.88,8,26,0.128,0.625,9,1.72,1.17
13,16,VIOLATING,,11.96,-15.76,16.46,32.22,39,25,0.188,0.66,9,112.53,0.94
15,25,VIOLATING,,14.07,-18.59,17.07,35.66,36,29,0.319,0.632,6,48.85,11.82
22,26,VIOLATING,,13.13,-15.06,16.63,31.69,47,25,0.235,0.643,7,186.57,0.99
21,29,VIOLATING,,7.45,-14.38,8.95,23.33,46,28,-0.011,0.601,3,324.81,4.21
2,8,VIOLATING,,11.93,-14.89,14.93,29.82,43,24,0.164,0.667,6,176.08,1.39
3,6,VIOLATING,,11.99,-17.56,15.49,33.05,26,31,0.141,0.599,7,21.41,8.06
19,22,VIOLATING,,11.3,-15.1,14.8,29.9,42,24,0.154,0.644,7,170.32,1.15
31,35,VIOLATING,,14.47,-15.45,17.47,32.92,41,26,0.279,0.641,6,120.87,1.05
9,13,VIOLATING,,13.46,-14.69,16.46,31.16,41,25,0.237,0.631,6,117.81,1.85
1,9,VIOLATING,,14.63,-16.0,18.13,34.13,30,34,0.494,0.407,7,5.02,115.06
26,31,VIOLATING,,11.12,-14.23,15.62,29.85,42,23,0.149,0.67,9,146.02,2.17
